mate,bcb
1,10
1,10
1,39
1,30
1,6
1,21
1,0
1,4
1,16
1,10
1,23
1,22
1,8
1,19
1,22
1,10
1,10
1,11
1,22
1,19
1,21
1,14
1,11
1,6
1,1
1,2
1,9
1,11
1,12
1,3
1,3
1,4
1,6
1,5
1,7
1,6
1,8
1,8
1,21
1,7
1,8
1,7
1,8
2,130
2,105
2,91
2,82
2,77
2,65
2,64
2,60
2,56
2,51
2,45
2,50
2,49
2,48
2,44
2,44
2,44
2,42
2,41
2,37
2,37
2,37
2,36
2,36
2,35
2,32
2,31
2,30
2,30
2,30
2,30
2,30
2,29
2,29
2,29
2,28
2,26
2,25
2,25
2,25
2,24
2,21
2,7
